,0
0,3005438.106265605
1,3005438.106265605
2,3005438.106265605
3,3002987.896615076
4,3002987.896615076
5,3002987.896615076
6,3002987.896615076
7,3000538.6865565022
8,3000538.6865565022
9,3000538.6865565022
10,3000538.6865565022
11,2998090.476089719
12,2998090.476089719
13,2998090.476089719
14,2998090.476089719
15,2995643.265214556
16,2995643.265214556
17,2995643.265214556
18,2995643.265214556
19,2993197.053930848
20,2993197.053930848
21,2993197.053930848
22,2993197.053930848
23,2990751.8422384285
24,2990751.8422384285
25,2990751.8422384285
26,2990751.8422384285
27,2988307.630137131
28,2988307.630137131
29,2988307.630137131
30,2988307.630137131
31,2985864.4176267874
32,2985864.4176267874
33,2985864.4176267874
34,2985864.4176267874
35,2983422.2047072304
36,2983422.2047072304
37,2983422.2047072304
38,2983422.2047072304
39,2980980.9913782924
40,2980980.9913782924
41,2980980.9913782924
42,2980980.9913782924
43,2978540.777639806
44,2978540.777639806
45,2978540.777639806
46,2978540.777639806
47,2976101.563491604
48,2976101.563491604
49,2976101.563491604
50,2976101.563491604
51,2973663.348933518
52,2973663.348933518
53,2973663.348933518
54,2973663.348933518
55,2971226.1339653814
56,2971226.1339653814
57,2971226.1339653814
58,2971226.1339653814
59,2968789.9185870243
60,2968789.9185870243
61,2968789.9185870243
62,2968789.9185870243
63,2966354.702798279
64,2966354.702798279
65,2966354.702798279
66,2966354.702798279
67,2963920.4865989746
68,2963920.4865989746
69,2963920.4865989746
70,2963920.4865989746
71,2961487.269988947
72,2961487.269988947
73,2961487.269988947
74,2961487.269988947
75,2959055.0529680243
76,2959055.0529680243
77,2959055.0529680243
78,2959055.0529680243
79,2956623.835536041
80,2956623.835536041
81,2956623.835536041
82,2956623.835536041
83,2954193.6176928235
84,2954193.6176928235
85,2954193.6176928235
86,2954193.6176928235
87,2951764.3994382066
88,2951764.3994382066
89,2951764.3994382066
90,2951764.3994382066
91,2949336.1807720186
92,2949336.1807720186
93,2949336.1807720186
94,2949336.1807720186
95,2946908.9616940916
96,2946908.9616940916
97,2946908.9616940916
98,2946908.9616940916
99,2944482.7422042554
100,2944482.7422042554
101,2944482.7422042554
102,2944482.7422042554
103,2942057.52230234
104,2942057.52230234
105,2942057.52230234
106,2942057.52230234
107,2939633.301988176
108,2939633.301988176
109,2939633.301988176
110,2939633.301988176
111,2937210.081261595
112,2937210.081261595
113,2937210.081261595
114,2937210.081261595
115,2934787.8601224246
116,2934787.8601224246
117,2934787.8601224246
118,2934787.8601224246
119,2932366.6385704954
120,2932366.6385704954
121,2932366.6385704954
122,2932366.6385704954
123,2929946.4166056355
124,2929946.4166056355
125,2929946.4166056355
126,2929946.4166056355
127,2927527.194227678
128,2927527.194227678
129,2927527.194227678
130,2927527.194227678
131,2925108.97143645
132,2925108.97143645
133,2925108.97143645
134,2925108.97143645
135,2922691.7482317802
136,2922691.7482317802
137,2922691.7482317802
138,2922691.7482317802
139,2920275.524613497
140,2920275.524613497
141,2920275.524613497
142,2920275.524613497
143,2917860.300581432
144,2917860.300581432
145,2917860.300581432
146,2917860.300581432
147,2915446.0761354147
148,2915446.0761354147
149,2915446.0761354147
150,2915446.0761354147
151,2913032.8512752694
152,2913032.8512752694
153,2913032.8512752694
154,2913032.8512752694
155,2910620.6260008267
156,2910620.6260008267
157,2910620.6260008267
158,2910620.6260008267
159,2908209.400311916
160,2908209.400311916
161,2908209.400311916
162,2908209.400311916
163,2905799.174208363
164,2905799.174208363
165,2905799.174208363
166,2905799.174208363
167,2903389.94769
168,2903389.94769
169,2903389.94769
170,2903389.94769
171,2900981.720756651
172,2900981.720756651
173,2900981.720756651
174,2900981.720756651
175,2898574.4934081463
176,2898574.4934081463
177,2898574.4934081463
178,2898574.4934081463
179,2896168.265644312
180,2896168.265644312
181,2896168.265644312
182,2896168.265644312
183,2893763.0374649744
184,2893763.0374649744
185,2893763.0374649744
186,2893763.0374649744
187,2891358.808869963
188,2891358.808869963
189,2891358.808869963
190,2891358.808869963
191,2888955.5798591063
192,2888955.5798591063
193,2888955.5798591063
194,2888955.5798591063
195,2886553.3504322288
196,2886553.3504322288
197,2886553.3504322288
198,2886553.3504322288
199,2884152.120589156
200,2884152.120589156
201,2884152.120589156
202,2884152.120589156
203,2881751.8903297205
204,2881751.8903297205
205,2881751.8903297205
206,2881751.8903297205
207,2879352.6596537437
208,2879352.6596537437
209,2879352.6596537437
210,2879352.6596537437
211,2876954.4285610523
212,2876954.4285610523
213,2876954.4285610523
214,2876954.4285610523
215,2874557.1970514753
216,2874557.1970514753
217,2874557.1970514753
218,2874557.1970514753
219,2872160.965124837
220,2872160.965124837
221,2872160.965124837
222,2872160.965124837
223,2869765.7327809636
224,2869765.7327809636
225,2869765.7327809636
226,2869765.7327809636
227,2867371.500019683
228,2867371.500019683
229,2867371.500019683
230,2867371.500019683
231,2864978.2668408183
232,2864978.2668408183
233,2864978.2668408183
234,2864978.2668408183
235,2862586.0332441977
236,2862586.0332441977
237,2862586.0332441977
238,2862586.0332441977
239,2860194.7992296447
240,2860194.7992296447
241,2860194.7992296447
242,2860194.7992296447
243,2857804.5647969837
244,2857804.5647969837
245,2857804.5647969837
246,2857804.5647969837
247,2855415.329946044
248,2855415.329946044
249,2855415.329946044
250,2855415.329946044
251,2853027.094676646
252,2853027.094676646
253,2853027.094676646
254,2853027.094676646
255,2850639.858988617
256,2850639.858988617
257,2850639.858988617
258,2850639.858988617
259,2848253.6228817827
260,2848253.6228817827
261,2848253.6228817827
262,2848253.6228817827
263,2845868.3863559654
264,2845868.3863559654
265,2845868.3863559654
266,2845868.3863559654
