,0
0,2086591.4899699895
1,2741400.102449773
2,2200820.188665778
3,2577511.478508502
4,2256066.1406334974
5,2469636.5701145297
6,2275627.630942048
7,2393827.5406334116
8,2274142.5601295703
9,2336724.900088937
10,2260502.1295711063
11,2290735.659618213
12,2240005.614507635
13,2251489.6314349747
14,2215774.5784957027
15,2216448.6026195325
16,2189632.1780682043
17,2184127.1103252037
18,2162634.874658175
19,2153648.918733464
20,2135389.0913455347
21,2124492.044376963
22,2108238.1670375755
23,2096341.260851504
24,2081372.1755297526
25,2069002.4417549777
26,2054892.2352492998
27,2042352.6865803793
28,2028848.0917517336
29,2016311.2257560086
30,2003260.0456987293
31,1990822.4187612901
32,1978131.7265758612
33,1965845.8003058848
34,1953457.5188115798
35,1941350.238465321
36,1929226.8663744635
37,1917310.4938667328
38,1905426.756536943
39,1893705.1821427473
40,1882043.1424045428
41,1870515.5574218757
42,1859061.7476602101
43,1847724.7769491265
44,1836468.5123295446
45,1825317.4483091088
46,1814249.8305592139
47,1803279.343235986
48,1792392.6684578648
49,1781597.2101641016
50,1770884.6133059901
51,1760258.6458010697
52,1749713.883995527
53,1739252.0024348202
54,1728869.3200450395
55,1718566.3172862355
56,1708340.359235318
57,1698191.255831431
58,1688117.009653098
59,1678117.0643012074
60,1668189.819450249
61,1658334.5284883627
62,1648549.8461826178
63,1638834.9371218872
64,1629188.6267547694
65,1619610.0487307839
66,1610098.1485120035
67,1600652.0613123234
68,1591270.82174199
69,1581953.5843525545
70,1572699.4536892786
71,1563507.6128867436
72,1554377.2240965515
73,1545307.503372487
74,1536297.6622375636
75,1527346.9512011805
76,1518454.625381218
77,1509619.9697072988
78,1500842.2786140726
79,1492120.8705574374
80,1483455.0759441522
81,1474844.2454166866
82,1466287.7426087172
83,1457784.9488013447
84,1449335.2585107542
85,1440938.0820358412
86,1432592.8427122477
87,1424298.9782388483
88,1416055.9389161742
89,1407863.1882696333
90,1399720.2018731153
91,1391626.4675708832
92,1383581.4846524452
93,1375584.7638489236
94,1367635.826721894
95,1359734.2055363965
96,1351879.4427829434
97,1344071.0909863205
98,1336308.712313027
99,1328591.8783499254
100,1320920.1697687246
101,1313293.1760939031
102,1305710.4954071967
103,1298171.734115696
104,1290676.5066859538
105,1283224.4354182202
106,1275815.150203688
107,1268448.2883079757
108,1261123.4941473573
109,1253840.4190829247
110,1246598.7212130374
111,1239398.0651786774
112,1232238.1219701625
113,1225118.5687436746
114,1218039.0886407944
115,1210999.3706159035
116,1203999.1092674057
117,1197038.0046755462
118,1190115.7622443994
119,1183232.0925495806
120,1176386.7111902058
121,1169579.3386459502
122,1162809.7001382888
123,1156077.525496354
124,1149382.549026827
125,1142724.5093880717
126,1136103.1494681058
127,1129518.216266501
128,1122969.4607799188
129,1116456.6378912842
130,1109979.5062624023
131,1103537.8282299628
132,1097131.3697047785
133,1090759.9000741912
134,1084423.192107512
135,1078121.0218644326
136,1071853.1686062785
137,1065619.4147100346
138,1059419.5455850526
139,1053253.3495923432
140,1047120.6179663863
141,1041021.1447393672
142,1034954.7266677639
143,1028921.1631612113
144,1022920.2562135757
145,1016951.8103361557
146,1011015.6324929585
147,1005111.5320379657
148,999239.3206543468
149,993398.8122955436
150,987589.823128168
151,981812.1714766619
152,976065.6777696576
153,970350.1644879846
154,964665.456114276
155,959011.3790841175
156,953387.761738691
157,947794.4342788705
158,942231.2287207171
159,936697.9788523373
160,931194.5201920499
161,925720.6899478299
162,920276.3269779864
163,914861.2717530341
164,909475.3663187185
165,904118.4542601663
166,898790.3806671135
167,893490.9921001869
168,888220.1365582072
169,882977.6634464662
170,877763.4235459669
171,872577.2689835833
172,867419.0532031142
173,862288.6309372055
174,857185.858180107
175,852110.5921612483
176,847062.691319595
177,842042.0152787663
178,837048.4248229023
179,832081.7818732278
180,827141.9494653234
181,822228.7917270595
182,817342.1738571812
183,812481.9621045237
184,807648.0237478322
185,802840.2270761798
186,798058.4413699479
187,793302.5368823659
188,788572.3848215828
189,783867.8573332652
190,779188.8274836891
191,774535.1692433244
192,769906.7574708905
193,765303.4678978691
194,760725.1771134576
195,756171.7625499555
196,751643.1024685618
197,747139.0759455777
198,742659.5628589987
199,738204.4438754837
200,733773.6004376914
201,729366.9147519676
202,724984.2697763826
203,720625.5492090937
204,716290.6374770339
205,711979.4197249133
206,707691.7818045233
207,703427.6102643292
208,699186.7923393536
209,694969.2159413287
210,690774.7696491205
211,686603.3426994069
212,682454.8249776098
213,678329.1070090652
214,674226.0799504332
215,670145.6355813324
216,666087.6662961965
217,662052.0650963422
218,658038.7255822489
219,654047.5419460329
220,650078.4089641237
221,646131.2219901214
222,642205.876947842
223,638302.270324537
224,634420.2991642862
225,630559.8610615565
226,626720.8541549207
227,622903.1771209352
228,619106.7291681649
229,615331.4100313613
230,611577.1199657752
231,607843.759741615
232,604131.2306386326
233,600439.4344408431
234,596768.2734313668
235,593117.6503873976
236,589487.4685752835
237,585877.6317457282
238,582288.0441290981
239,578718.6104308412
240,575169.2358270073
241,571639.8259598723
242,568130.2869336575
243,564640.5253103483
244,561170.4481056003
245,557719.9627847401
246,554288.9772588486
247,550877.3998809318
248,547485.1394421705
249,544112.1051682528
250,540758.2067157803
251,537423.3541687501
252,534107.4580351105
253,530810.4292433843
254,527532.1791393633
255,524272.61948286596
256,521031.66244456236
257,517809.22060285835
258,514605.206940842
259,511419.5348432892
260,508252.11809372477
261,505102.87087154016
262,501971.7077491619
263,498858.54368927865
264,495763.2940421101
265,492685.8745427328
266,489626.2013084494
267,486584.1908362046
268,483559.7600000481
269,480552.8260486385
270,477563.30660279276
271,474591.11965307384
272,471636.18355742027
273,468698.41703881405
274,465777.73918298754
275,462874.0694361644
276,459987.32760283863
277,457117.43384358863
278,454264.30867292226
279,451427.87295715796
280,448608.0479123356
281,445804.7551021585
282,443017.91643596784
283,440247.4541667428
284,437493.2908891323
285,434755.34953751304
286,432033.55338407453
287,429327.82603693125
288,426638.0914382597
289,423964.2738624599
290,421306.29791434243
291,418664.0885273377
292,416037.5709617294
293,413426.6708029088
294,410831.31395965215
295,408251.42666241905
296,405686.93546167057
297,403137.76722620847
298,400603.8491415338
299,398085.10870822426
300,395581.4737403303
301,393092.8723637895
302,390619.23301485844
303,388160.48443856265
304,385716.55568716186
305,383287.37611863273
306,380872.8753951674
307,378472.98348168796
308,376087.6306443747
309,373716.74744921195
310,371360.2647605452
311,369018.11373965535
312,366690.2258433441
313,364376.53282253555
314,362076.9667208892
315,359791.4598734258
316,357519.9449051669
317,355262.3547297864
318,353018.62254827307
319,350788.68184760667
320,348572.4663994438
321,346369.9102588162
322,344180.9477628399
323,342005.5135294342
324,339843.5424560531
325,337694.9697184247
326,335559.730769303
327,333437.7613372276
328,331328.99742529495
329,329233.37530993746
330,327150.8315397129
331,325081.30293410266
332,323024.7265823192
333,320981.03984212177
334,318950.1803386412
335,316932.0859632125
336,314926.6948722168
337,312933.94548593013
338,310953.77648738155
339,308986.1268212176
340,307030.93569257564
341,305088.1425659642
342,303157.6871641506
343,301239.50946705654
344,299333.5497106599
345,297439.7483859044
346,295558.04623761564
347,293688.3842634238
348,291830.7037126939
349,289984.9460854619
350,288151.0531313771
351,286328.96684865176
352,284518.6294830156
353,282719.98352667846
354,280932.97171729687
355,279157.5370369483
356,277393.6227111104
357,275641.1722076458
358,273900.1292357941
359,272170.4377451675
360,270452.0419247537
361,268744.8862019228
362,267048.91524144134
363,265364.0739444896
364,263690.3074476861
365,262027.56112211614
366,260375.78057236565
367,258734.9116355601
368,257104.90038040906
369,255485.6931062546
370,253877.2363421249
371,252279.47684579372
372,250692.36160284275
373,249115.83782573073
374,247549.85295286478
375,245994.35464767885
376,244449.2907977153
377,242914.60951371051
378,241390.2591286864
379,239876.1881970452
380,238372.34549366878
381,236878.68001302273
382,235395.14096826405
383,233921.67779035348
384,232458.24012717168
385,231004.77784264038
386,229561.24101584556
387,228127.57994016752
388,226703.74512241269
389,225289.68728195044
390,223885.35734985332
391,222490.70646804172
392,221105.68598843188
393,219730.2474720883
394,218364.34268837917
395,217007.92361413603
396,215660.94243281762
397,214323.3515336762
398,212995.10351092863
399,211676.1511629304
400,210366.44749135396
401,209065.94570036995
402,207774.59919583212
403,206492.361584466
404,205219.18667306108
405,203955.0284676659
406,202699.84117278765
407,201453.5791905937
408,200216.19712011816
409,198987.64975647014
410,197767.89209004698
411,196556.87930574955
412,195354.5667822014
413,194160.910090971
